Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,50_EMA,200_EMA,RSI,MACD,Signal,OBV
2005-04-01 00:00:00-05:00,0.20041699707508087,0.2032500058412552,0.17433300614356995,0.18275000154972076,0.16758190095424652,9788556000,0.0,0.0,0.18275000154972076,0.18275000154972076,,0.0,0.0,-9788556000
2005-05-01 00:00:00-04:00,0.18491700291633606,0.23258300125598907,0.17933300137519836,0.225832998752594,0.20708900690078735,14199696000,0.0,0.0,0.18443953085179424,0.18317868808905285,,0.0034368202896879196,0.000687364057937584,4411140000
2005-06-01 00:00:00-04:00,0.2243330031633377,0.24491700530052185,0.2147500067949295,0.22266699373722076,0.20418590307235718,16206264000,0.0,0.0,0.1859386470433796,0.18357160655321372,,0.005837760910984119,0.001717443428546891,-11795124000
2005-07-01 00:00:00-04:00,0.22191700339317322,0.2441670000553131,0.21183300018310547,0.22550000250339508,0.2067836970090866,13622904000,0.0,0.0,0.18749007274769394,0.18398880452286728,,0.007878307556754477,0.0029496162541884086,1827780000
2005-08-01 00:00:00-04:00,0.22683300077915192,0.25883299112319946,0.22533300518989563,0.2556670010089874,0.23444682359695435,14333544000,0.0,0.0,0.19016367777754858,0.18470202040830133,,0.011793729367342576,0.004718438876819242,16161324000
2005-09-01 00:00:00-04:00,0.2549169957637787,0.28824999928474426,0.24866700172424316,0.2856670022010803,0.26195693016052246,11099136000,0.0,0.0,0.19390890618631454,0.1857066470928066,,0.01712012855201764,0.007198776811858923,27260460000
2005-10-01 00:00:00-04:00,0.289000004529953,0.29958298802375793,0.2542499899864197,0.27958300709724426,0.25637781620025635,9381960000,0.0,0.0,0.19726867484948823,0.1866407402271791,,0.02061279920349962,0.009881581290187062,17878500000
2005-11-01 00:00:00-05:00,0.27958300709724426,0.3208329975605011,0.27366700768470764,0.30125001072883606,0.27624642848968506,13110036000,0.0,0.0,0.20134637429573718,0.1877811309784394,,0.024842740326086826,0.012873813097367017,30988536000
2005-12-01 00:00:00-05:00,0.30375000834465027,0.3186669945716858,0.2951669991016388,0.30466699600219727,0.27937984466552734,7663404000,0.0,0.0,0.20539816338226505,0.18894417441151162,,0.028146268631104643,0.015928304204114542,38651940000
2006-01-01 00:00:00-05:00,0.30641698837280273,0.38966700434684753,0.305417001247406,0.3746669888496399,0.34356996417045593,9519288000,0.0,0.0,0.21203615653784838,0.19079216261487608,,0.03599779287350885,0.019942201937993405,48171228000
2006-02-01 00:00:00-05:00,0.367917001247406,0.422666996717453,0.35725000500679016,0.39274999499320984,0.36015209555625916,11871252000,0.0,0.0,0.21912297373217626,0.19280169328530727,,0.043181559731591684,0.02459007349671306,60042480000
2006-03-01 00:00:00-05:00,0.3941670060157776,0.48524999618530273,0.3855000138282776,0.477167010307312,0.4375625550746918,15777384000,0.0,0.0,0.2292423477155149,0.19563119892731728,,0.055051890431994155,0.03068243688376928,75819864000
2006-04-01 00:00:00-05:00,0.4796670079231262,0.5139999985694885,0.46216699481010437,0.4869999885559082,0.4465794265270233,13351836000,0.0,2.0,0.23935049049356955,0.1985303908639202,,0.06450903223211785,0.037447755953438994,89171700000
2006-05-01 00:00:00-04:00,0.4903329908847809,0.5313330292701721,0.3806670010089874,0.382999986410141,0.3512113690376282,14381178000,0.0,0.0,0.24498380405892528,0.20036590922756417,73.46221322072955,0.06288703167947984,0.04253561109864717,74790522000
2006-06-01 00:00:00-04:00,0.3873330056667328,0.4115000069141388,0.3186669945716858,0.3548330068588257,0.3253822922706604,12274956000,0.0,0.0,0.2492916159334312,0.20190289527364638,68.91367184097749,0.0586526336563169,0.045759015610181114,62515566000
2006-07-01 00:00:00-04:00,0.3630000054836273,0.3785000145435333,0.2861669957637787,0.36899998784065247,0.3383733630180359,12104742000,0.0,0.0,0.2539860618905771,0.20356555291112904,66.80359963677626,0.055796808803029285,0.04776657424875075,74620308000
2006-08-01 00:00:00-04:00,0.3644999861717224,0.492000013589859,0.3474999964237213,0.485166996717453,0.4448985457420349,16247604000,0.0,0.0,0.26305198090339577,0.2063675573271124,74.3505612340262,0.0621903620186538,0.05065133180273136,90867912000
2006-09-01 00:00:00-04:00,0.4779999852180481,0.5208330154418945,0.4390000104904175,0.4931670129299164,0.45223468542099,11497302000,0.0,0.0,0.2720760998063966,0.20922128325350847,74.59410845898336,0.06712901199065124,0.05394686784031534,102365214000
2006-10-01 00:00:00-04:00,0.49083301424980164,0.5811669826507568,0.46116700768470764,0.5811669826507568,0.5329307317733765,13568772000,0.0,0.0,0.2841973108983323,0.21292223548631692,77.03479528766401,0.07725326226563767,0.05860814672537981,115933986000
2006-11-01 00:00:00-05:00,0.5734999775886536,0.6215000152587891,0.5253329873085022,0.6165000200271606,0.5653310418128967,13455474000,0.0,0.0,0.29722878968769806,0.21693793483498205,77.23645380145426,0.08712357800095971,0.06431123298049579,129389460000
2006-12-01 00:00:00-05:00,0.6096670031547546,0.6493330001831055,0.5816670060157776,0.616832971572876,0.5656366348266602,10008768000,0.0,0.0,0.3097622870165286,0.2209169899269014,78.03016743397973,0.09389043030434924,0.07022707244526649,139398228000
2007-01-01 00:00:00-05:00,0.6178330183029175,0.6253330111503601,0.4984999895095825,0.5108330249786377,0.46843427419662476,17067402000,0.0,0.0,0.31764741399543484,0.22380172659408287,65.27758123192444,0.0896662826051357,0.07411491447724033,122330826000
2007-02-01 00:00:00-05:00,0.5059999823570251,0.581833004951477,0.5049999952316284,0.5166670083999634,0.4737841784954071,13470912000,0.0,0.0,0.325452103972083,0.22671580900011154,65.39950465547994,0.08580031618944578,0.07645199481968143,135801738000
2007-03-01 00:00:00-05:00,0.5055000185966492,0.5266669988632202,0.46733298897743225,0.4796670079231262,0.43985500931739807,14723250000,0.0,0.0,0.3314997472642808,0.22923273635257935,58.01118504789317,0.07884207675234056,0.07693001120621326,121078488000
2007-04-01 00:00:00-04:00,0.47850000858306885,0.5656669735908508,0.47133299708366394,0.5481669902801514,0.5026696920394897,13520172000,0.0,0.0,0.33999650189235414,0.2324062115160378,61.01075504657327,0.07795636550955826,0.07713528206688226,134598660000
2007-05-01 00:00:00-04:00,0.5581669807434082,0.6000000238418579,0.536666989326477,0.5773329734802246,0.5294147729873657,12620946000,0.0,0.0,0.3493038145036432,0.23583831860025856,57.69915378790599,0.07870067170841488,0.07744835999518879,147219606000
2007-06-01 00:00:00-04:00,0.5838329792022705,0.7311670184135437,0.5736669898033142,0.6884999871253967,0.6313551068305969,14460498000,0.0,0.0,0.36260562519469236,0.24034241480448879,63.400566955921434,0.08725496771957364,0.07940968154006577,161680104000
2007-07-01 00:00:00-04:00,0.6983330249786377,0.7988330125808716,0.6961669921875,0.7626670002937317,0.6993662714958191,10421874000,0.0,0.0,0.3782943065711253,0.24553967436159568,76.2926979155612,0.09887914977343049,0.08330357518673871,172101978000
2007-08-01 00:00:00-04:00,0.7516670227050781,0.8558329939842224,0.675000011920929,0.852666974067688,0.7818962335586548,15690222000,0.0,0.0,0.3968971562768729,0.2515807420203628,81.75634479166271,0.11403907208507624,0.08945067456640622,187792200000
2007-09-01 00:00:00-04:00,0.8565000295639038,0.9300000071525574,0.7957500219345093,0.906000018119812,0.830802857875824,9779846000,0.0,1.5,0.4168619743883607,0.258092376608417,82.62454918551477,0.12887140137516673,0.09733481992815832,197572046000
2007-10-01 00:00:00-04:00,0.9137499928474426,0.9917500019073486,0.8140000104904175,0.8845000267028809,0.8110871315002441,10668964000,0.0,0.0,0.43520072153794975,0.2643252885496555,77.41418286669348,0.13730845319738938,0.10532954658200452,186903082000
2007-11-01 00:00:00-04:00,0.8707500100135803,0.9549999833106995,0.7277500033378601,0.7885000109672546,0.7230550646781921,12056668000,0.0,0.0,0.4490555956332166,0.2695409574294326,68.08900484663411,0.13469578937324167,0.11120279514025196,174846414000
2007-12-01 00:00:00-05:00,0.800000011920929,0.9100000262260437,0.7837499976158142,0.8504999876022339,0.7799092531204224,7581432000,0.0,0.0,0.4647985129653349,0.2753216442968237,67.03921223483147,0.1360597028679591,0.11617417668579338,182427846000
2008-01-01 00:00:00-05:00,0.8529999852180481,0.856249988079071,0.5582500100135803,0.6147500276565552,0.5637263059616089,15496232000,0.0,0.0,0.47067896452185337,0.2786990411461743,49.91168343879181,0.11677149352635352,0.11629364005390541,166931614000
