contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration,ticker,timestamp,vol_oi_ratio
AMZN250801C00230000,2025-07-25 19:59:52+00:00,230.0,7.05,7.0,7.1,-1.04,-12.855377,5609.0,10388,0.4985401708984375,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08,0.5398979690056791
AMZN250801C00232500,2025-07-25 19:59:48+00:00,232.5,5.85,5.75,5.85,-0.9300003,-13.716818,6015.0,4808,0.4968312036132813,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08,1.2507797878976918
AMZN250801C00235000,2025-07-25 19:59:28+00:00,235.0,4.7,4.65,4.75,-0.9500003,-16.814165,7895.0,6926,0.4946339599609375,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08,1.1397430345026707
AMZN250801C00240000,2025-07-25 19:59:41+00:00,240.0,2.84,2.85,2.89,-0.8100002,-22.191784,5607.0,18022,0.4809622216796875,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08,0.3111024801642346
AMZN250801C00245000,2025-07-25 19:59:05+00:00,245.0,1.55,1.54,1.57,-0.6600001,-29.864256,3978.0,12495,0.4633842724609375,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08,0.3183418693982074
AMZN250801C00250000,2025-07-25 19:59:16+00:00,250.0,0.73,0.73,0.74,-0.47000003,-39.166668,4747.0,9408,0.44385321777343745,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08,0.5045169518546073
AMZN250801P00215000,2025-07-25 19:59:08+00:00,215.0,0.94,0.93,0.94,-0.19,-16.81416,3918.0,4378,0.47095255615234377,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08,0.8947248230189541
AMZN250801P00220000,2025-07-25 19:59:45+00:00,220.0,1.82,1.82,1.86,-0.27999985,-13.333326,3530.0,6130,0.4731497998046875,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08,0.5757625183493721
AMZN250801P00225000,2025-07-25 19:59:49+00:00,225.0,3.32,3.25,3.35,-0.26,-7.26257,3150.0,4725,0.47852083984375,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08,0.6665256030469742
