Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains,Symbol,Date,30d_volatility,10d_volatility
2018-01-25 00:00:00-05:00,1770.239990234375,1770.239990234375,1770.239990234375,1770.239990234375,1770.239990234375,0,0.0,0.0,0.0,VXX,2018-01-25 00:00:00-05:00,,
2018-01-26 00:00:00-05:00,1770.239990234375,1770.239990234375,1770.239990234375,1770.239990234375,1770.239990234375,0,0.0,0.0,0.0,VXX,2018-01-26 00:00:00-05:00,,
2018-01-29 00:00:00-05:00,1868.800048828125,1893.1199951171875,1868.800048828125,1893.1199951171875,1893.1199951171875,22,0.0,0.0,0.0,VXX,2018-01-29 00:00:00-05:00,,
2018-01-30 00:00:00-05:00,1970.56005859375,2035.8399658203125,1951.3599853515625,1955.199951171875,1955.199951171875,989,0.0,0.0,0.0,VXX,2018-01-30 00:00:00-05:00,,
2018-01-31 00:00:00-05:00,1917.43994140625,1963.52001953125,1917.43994140625,1961.5999755859375,1961.5999755859375,144,0.0,0.0,0.0,VXX,2018-01-31 00:00:00-05:00,,
2018-02-01 00:00:00-05:00,1929.5999755859375,1929.5999755859375,1850.8800048828125,1862.8480224609375,1862.8480224609375,169,0.0,0.0,0.0,VXX,2018-02-01 00:00:00-05:00,,
2018-02-02 00:00:00-05:00,1922.56005859375,2131.199951171875,1921.9200439453125,2102.39990234375,2102.39990234375,456,0.0,0.0,0.0,VXX,2018-02-02 00:00:00-05:00,,
2018-02-05 00:00:00-05:00,2172.159912109375,2839.679931640625,2088.320068359375,2807.0400390625,2807.0400390625,817,0.0,0.0,0.0,VXX,2018-02-05 00:00:00-05:00,,
2018-02-06 00:00:00-05:00,2944.0,3718.39990234375,2759.424072265625,2759.424072265625,2759.424072265625,194,0.0,0.0,0.0,VXX,2018-02-06 00:00:00-05:00,,
2018-02-07 00:00:00-05:00,2799.360107421875,2885.760009765625,2682.8798828125,2850.56005859375,2850.56005859375,434,0.0,0.0,0.0,VXX,2018-02-07 00:00:00-05:00,,
2018-02-08 00:00:00-05:00,2907.52001953125,3531.52001953125,2903.0400390625,3531.52001953125,3531.52001953125,1575,0.0,0.0,0.0,VXX,2018-02-08 00:00:00-05:00,,195.04733196233502
2018-02-09 00:00:00-05:00,3182.080078125,3609.60009765625,3136.0,3217.919921875,3217.919921875,695,0.0,0.0,0.0,VXX,2018-02-09 00:00:00-05:00,,209.472632280187
2018-02-12 00:00:00-05:00,3089.919921875,3205.1201171875,3072.0,3107.199951171875,3107.199951171875,228,0.0,0.0,0.0,VXX,2018-02-12 00:00:00-05:00,,215.73632031320594
2018-02-13 00:00:00-05:00,3123.840087890625,3139.840087890625,3046.39990234375,3070.080078125,3070.080078125,572,0.0,0.0,0.0,VXX,2018-02-13 00:00:00-05:00,,218.360150286333
2018-02-14 00:00:00-05:00,3028.47998046875,3029.1201171875,2708.47998046875,2718.719970703125,2718.719970703125,1395,0.0,0.0,0.0,VXX,2018-02-14 00:00:00-05:00,,233.43999493752983
2018-02-15 00:00:00-05:00,2625.919921875,2741.760009765625,2616.639892578125,2656.0,2656.0,211,0.0,0.0,0.0,VXX,2018-02-15 00:00:00-05:00,,230.80994754935537
2018-02-16 00:00:00-05:00,2700.800048828125,2735.360107421875,2595.840087890625,2695.679931640625,2695.679931640625,291,0.0,0.0,0.0,VXX,2018-02-16 00:00:00-05:00,,226.23587634402847
2018-02-20 00:00:00-05:00,2764.800048828125,2859.52001953125,2744.9599609375,2805.760009765625,2805.760009765625,686,0.0,0.0,0.0,VXX,2018-02-20 00:00:00-05:00,,152.4774465661253
2018-02-21 00:00:00-05:00,2778.239990234375,2850.56005859375,2629.1201171875,2848.0,2848.0,2230,0.0,0.0,0.0,VXX,2018-02-21 00:00:00-05:00,,152.1030114620238
2018-02-22 00:00:00-05:00,2767.360107421875,2848.639892578125,2739.199951171875,2810.8798828125,2810.8798828125,872,0.0,0.0,0.0,VXX,2018-02-22 00:00:00-05:00,,151.65359554449068
2018-02-23 00:00:00-05:00,2721.280029296875,2743.0400390625,2590.080078125,2591.360107421875,2591.360107421875,869,0.0,0.0,0.0,VXX,2018-02-23 00:00:00-05:00,,79.62872459373645
