Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains,50_EMA,200_EMA,RSI,MACD,Signal,OBV
2005-03-01 00:00:00-05:00,120.81999969482422,123.25,116.25,117.95999908447266,80.95829772949219,1330548800,0.467,0.0,0.0,117.95999908447266,117.95999908447266,,0.0,0.0,-1330548800
2005-04-01 00:00:00-05:00,118.62999725341797,119.26000213623047,113.55000305175781,115.75,79.75357055664062,1633318500,0.0,0.0,0.0,117.87333245370903,117.93800904383114,,-0.17629622326278138,-0.035259244652556275,-2963867300
2005-05-01 00:00:00-04:00,116.06999969482422,120.25,114.80000305175781,119.4800033569336,82.32359313964844,1334647300,0.0,0.0,0.0,117.93633915579628,117.9533522708272,,-0.014860845798594369,-0.031179564881763894,-1629220000
2005-06-01 00:00:00-04:00,119.5199966430664,121.94000244140625,118.75,119.18000030517578,82.11687469482422,1089322900,0.488,0.0,0.0,117.98511018126214,117.96555772390529,,0.08785735003223749,-0.007372181898963621,-2718542900
2005-07-01 00:00:00-04:00,119.44999694824219,124.63999938964844,118.26000213623047,123.73999786376953,85.60291290283203,1176306400,0.0,0.0,0.0,118.21079205116439,118.02301483972485,,0.5310938346304539,0.10032102140691988,-1542236500
2005-08-01 00:00:00-04:00,123.83000183105469,124.73999786376953,120.37999725341797,122.58000183105469,84.80043029785156,1306564800,0.0,0.0,0.0,118.38213361116009,118.06835799386744,,0.7797712392172684,0.23621106496898958,-2848801300
2005-09-01 00:00:00-04:00,122.5199966430664,124.73999786376953,120.44000244140625,123.04000091552734,85.11865997314453,1287005000,0.522,0.0,0.0,118.56479507407644,118.11782707766505,,1.0024127653419015,0.389451405043572,-1561796300
2005-10-01 00:00:00-04:00,122.95999908447266,123.33999633789062,116.87999725341797,120.12999725341797,83.45929718017578,1784566400,0.0,0.0,0.0,118.62617555169767,118.13784867145365,,0.9332864578884426,0.49821841561254615,-3346362700
2005-11-01 00:00:00-05:00,120.58000183105469,127.41000366210938,120.12999725341797,125.41000366210938,87.12755584716797,1183732800,0.0,0.0,0.0,118.89220802661578,118.21020842260447,,1.2896890193189563,0.6565125363538282,-2162629900
2005-12-01 00:00:00-05:00,126.0199966430664,128.08999633789062,124.36000061035156,124.51000213623047,86.50227355957031,1073146800,0.672,0.0,0.0,119.11251367797323,118.27289293716792,,1.4824294910896327,0.8216959273009892,-3235776700
2006-01-01 00:00:00-05:00,125.19000244140625,129.44000244140625,124.38999938964844,127.5,89.04911041259766,1233910800,0.0,0.0,0.0,119.44143471020958,118.36470494774338,,1.8550615479503847,1.0283690514308683,-2001865900
2006-02-01 00:00:00-05:00,127.81999969482422,130.0399932861328,125.4000015258789,128.22999572753906,89.5589828491211,1145244400,0.0,0.0,0.0,119.78608416186955,118.46286704505478,,2.1841027155173265,1.2595157842481601,-856621500
2006-03-01 00:00:00-05:00,128.60000610351562,131.47000122070312,127.18000030517578,129.8300018310547,90.67642974853516,1350777100,0.519,0.0,0.0,120.17996328615133,118.57597286382095,,2.544644257161991,1.5165414788309266,494155600
2006-04-01 00:00:00-05:00,130.07000732421875,131.86000061035156,128.02000427246094,131.47000122070312,92.18701171875,1300327900,0.0,0.0,0.0,120.62270987182004,118.70427165344168,73.72672626721739,2.928947191161413,1.799022621297024,1794483500
2006-05-01 00:00:00-04:00,131.47000122070312,132.8000030517578,124.76000213623047,127.51000213623047,89.41024017333984,1752747100,0.0,0.0,0.0,120.89279976454202,118.79189086222566,64.7240220708943,2.8807635550359265,2.0153708080448043,41736400
2006-06-01 00:00:00-04:00,127.37999725341797,129.42999267578125,122.33999633789062,127.27999877929688,89.24894714355469,2163829300,0.555,0.0,0.0,121.1432781572775,118.87634964747016,68.93266692457101,2.791835782532246,2.1706638029422924,-2122092900
