Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains,50_EMA,200_EMA,RSI,MACD,Signal,OBV
2023-03-01 09:30:00-05:00,395.25,396.69000244140625,394.0299987792969,394.6199951171875,394.6199951171875,28686992,0.0,0.0,0.0,394.6199951171875,394.6199951171875,,0.0,0.0,-28686992
2023-03-01 10:30:00-05:00,394.6099853515625,396.2799987792969,393.3800048828125,394.3800048828125,394.3800048828125,15830355,0.0,0.0,0.0,394.6105837354473,394.6176071546564,,-0.019144520121074038,-0.003828904024214808,-44517347
2023-03-01 11:30:00-05:00,394.3900146484375,396.44000244140625,394.2799987792969,395.7499084472656,395.7499084472656,10621145,0.0,0.0,0.0,394.6552631359108,394.6288738341849,,0.07535443957090138,0.01200776469480843,-33896202
2023-03-01 12:30:00-05:00,395.760009765625,396.2799987792969,394.84991455078125,394.92999267578125,394.92999267578125,6585153,0.0,0.0,0.0,394.66603684335666,394.63187004156396,,0.0831269596719153,0.026231603690229803,-40481355
2023-03-01 13:30:00-05:00,394.94000244140625,394.9700012207031,394.0150146484375,394.05999755859375,394.05999755859375,8685713,0.0,0.0,0.0,394.64227059689534,394.6261797681016,,0.01886790527822768,0.02475886400782938,-49167068
2023-03-01 14:30:00-05:00,393.989990234375,394.79998779296875,393.6400146484375,394.2149963378906,394.2149963378906,10255973,0.0,0.0,0.0,394.62551474360106,394.6220883906866,,-0.019327951585182745,0.015941500889226957,-38911095
2023-03-01 15:30:00-05:00,394.20001220703125,395.17999267578125,394.1099853515625,394.7799987792969,394.7799987792969,10594929,0.0,0.0,0.0,394.6315729410793,394.62365963833446,,-0.0039617990829583505,0.011960840894789895,-28316166
2023-03-02 09:30:00-05:00,392.67999267578125,394.1199951171875,392.3299865722656,394.0,394.0,17504682,0.0,0.0,0.0,394.6068053747625,394.61745406979384,,-0.05409976684893536,-0.001251280653955156,-45820848
2023-03-02 10:30:00-05:00,394.0299987792969,394.6499938964844,393.5199890136719,393.69000244140625,393.69000244140625,9582522,0.0,0.0,0.0,394.57085231855245,394.6082256953821,,-0.11749427884006991,-0.02449988029117811,-55403370
2023-03-02 11:30:00-05:00,393.69000244140625,394.1400146484375,393.4540100097656,393.8949890136719,393.8949890136719,6187408,0.0,0.0,0.0,394.5443478752238,394.60112881297704,,-0.14947117245475283,-0.04949413872389306,-49215962
2023-03-02 12:30:00-05:00,393.8999938964844,394.5799865722656,393.8550109863281,394.0599060058594,394.0599060058594,6008540,0.0,0.0,0.0,394.5253501548566,394.5957435114137,,-0.15966514759139727,-0.0715283404973939,-43207422
2023-03-02 13:30:00-05:00,394.06500244140625,397.0799865722656,394.04998779296875,396.94500732421875,396.94500732421875,13140835,0.0,0.0,0.0,394.6202386713022,394.6191192707451,,0.06431819811183459,-0.0443590327755482,-30066587
2023-03-02 14:30:00-05:00,396.95001220703125,397.6300048828125,396.32000732421875,397.44000244140625,397.44000244140625,11071063,0.0,0.0,0.0,394.73081764267886,394.6471877600054,,0.27855754442862235,0.020224282665285913,-18995524
2023-03-02 15:30:00-05:00,397.42999267578125,398.69000244140625,397.30999755859375,397.7900085449219,397.7900085449219,14280996,0.0,0.0,0.0,394.8507859133551,394.6784596086116,67.20998585094785,0.4711551539951415,0.11041045693125703,-4714528
2023-03-03 09:30:00-05:00,399.25,401.3900146484375,399.0299987792969,401.3699951171875,401.3699951171875,20397397,0.0,0.0,0.0,395.1064411762505,394.745042051483,76.38822608662454,0.9022644019673294,0.2687812459384715,15682869
2023-03-03 10:30:00-05:00,401.3599853515625,401.5,400.5199890136719,401.2200012207031,401.2200012207031,10112179,0.0,0.0,0.0,395.3461886289741,394.8094695059031,76.92954653043276,1.2177805173033107,0.4585811002114394,5570690
2023-03-03 11:30:00-05:00,401.2250061035156,402.3299865722656,400.940185546875,402.19000244140625,402.19000244140625,9348971,0.0,0.0,0.0,395.61457348436363,394.88290764456485,76.17946472212643,1.5284809270693245,0.6725610655830164,14919661
