Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains,50_EMA,200_EMA,RSI,MACD,Signal,OBV
2020-03-30 00:00:00-04:00,255.6999969482422,262.42999267578125,253.52999877929688,261.6499938964844,243.2767333984375,171369500,0.0,0.0,0.0,261.6499938964844,261.6499938964844,,0.0,0.0,-171369500
2020-03-31 00:00:00-04:00,260.55999755859375,263.3299865722656,256.2200012207031,257.75,239.65061950683594,194881100,0.0,0.0,0.0,261.49705295936735,261.61118798706667,,-0.3111106242209871,-0.062222124844197424,-366250600
2020-04-01 00:00:00-04:00,247.97999572753906,257.6600036621094,243.89999389648438,246.14999389648438,228.86512756347656,189554600,0.0,0.0,0.0,260.89520750592095,261.4573452597972,,-1.476669456307377,-0.3451115911368334,-555805200
2020-04-02 00:00:00-04:00,245.19000244140625,252.67999267578125,244.58999633789062,251.8300018310547,234.1462860107422,177660400,0.0,0.0,0.0,260.5397092441615,261.36155079781963,,-1.9199223874485938,-0.6600737503991855,-378144800
2020-04-03 00:00:00-04:00,250.75999450683594,253.32000732421875,245.22000122070312,248.19000244140625,230.7618865966797,135561200,0.0,0.0,0.0,260.0554070166025,261.2304906151688,,-2.5356911892268954,-1.0351972381647276,-513706000
2020-04-06 00:00:00-04:00,257.8399963378906,267.0,248.1699981689453,264.8599853515625,246.2613525390625,188061200,0.0,0.0,0.0,260.2438218532676,261.2666049906553,,-1.6594351614427296,-1.1600448228203282,-325644800
2020-04-07 00:00:00-04:00,274.2099914550781,275.0299987792969,264.8900146484375,265.1300048828125,246.5123291015625,201427200,0.0,0.0,0.0,260.4354368740341,261.30504678062704,,-0.9324588219515135,-1.1145276226465652,-124217600
2020-04-08 00:00:00-04:00,267.9599914550781,276.0,265.25,274.0299987792969,254.7873992919922,153774500,0.0,0.0,0.0,260.96855694875035,261.4316632184248,,0.35770686964235665,-0.8200807241887809,29556900
2020-04-09 00:00:00-04:00,277.5799865722656,281.20001220703125,275.4700012207031,278.20001220703125,258.6645812988281,189999200,0.0,0.0,0.0,261.64430029221234,261.5985124620925,,1.6970946579224346,-0.31664564776653775,219556100
2020-04-13 00:00:00-04:00,277.1400146484375,277.510009765625,271.4100036621094,275.6600036621094,256.30291748046875,114839100,0.0,0.0,0.0,262.1939357184828,261.7384277974161,,2.5245106803939734,0.25158561786556455,104717000
2020-04-14 00:00:00-04:00,280.9800109863281,284.8999938964844,275.510009765625,283.7900085449219,263.8620300292969,134143400,0.0,0.0,0.0,263.0408405352059,261.95784651132163,,3.7925491424363145,0.9597783227797145,238860400
2020-04-15 00:00:00-04:00,277.57000732421875,283.94000244140625,275.4599914550781,277.760009765625,258.2554931640625,121775000,0.0,0.0,0.0,263.61806285796746,262.1150819665884,,4.261781093067611,1.620178876837294,117085400
2020-04-16 00:00:00-04:00,279.1499938964844,280.0299987792969,275.760009765625,279.1000061035156,259.5014343261719,131798300,0.0,0.0,0.0,264.2251978872046,262.2840861868563,,4.6877399520769245,2.23369109188522,248883700
2020-04-17 00:00:00-04:00,285.3800048828125,287.29998779296875,282.3999938964844,286.6400146484375,266.5119323730469,146684800,0.0,0.0,0.0,265.1042103092137,262.5264337337377,65.5391183494024,5.569529028079955,2.9008586791241675,395568500
2020-04-20 00:00:00-04:00,282.6099853515625,286.7900085449219,281.3500061035156,281.5899963378906,261.81658935546875,100109300,0.0,0.0,0.0,265.750711722103,262.7161209238288,61.666270883512986,5.794068535468,3.479500650392934,295459200
2020-04-21 00:00:00-04:00,276.7300109863281,278.0400085449219,272.0199890136719,273.0400085449219,253.86691284179688,126385700,0.0,0.0,0.0,266.03656649946845,262.81884617378995,58.48407539338224,5.221910222609665,3.8279825648362804,169073500
