insider_name,relationship_to_issuer,shares_bought,trade_date,transaction_type,shares,price_per_share,shares_owned_after_transaction,total_value,avg_book_price
BEZOS JEFFREY P,"Director, Executive Chair",-1008737.0,02/08/2024,S,1008737.0,171.0154,976254119.0,172509561.5498,0.1767055914975351
Selipsky Adam,CEO Amazon Web Services,-500.0,02/01/2024,S,500.0,155.72,116560.0,77860.0,0.6679821551132464
Selipsky Adam,CEO Amazon Web Services,-500.0,02/02/2024,S,500.0,169.0,116060.0,84500.0,0.7280716870584181
Selipsky Adam,CEO Amazon Web Services,0.0,,,0.0,0.0,340.0,0.0,0.0
Selipsky Adam,CEO Amazon Web Services,0.0,,,0.0,0.0,143.1,0.0,0.0
Selipsky Adam,CEO Amazon Web Services,-500.0,01/18/2024,S,500.0,152.78,117560.0,76390.0,0.6497958489282069
Selipsky Adam,CEO Amazon Web Services,-500.0,01/19/2024,S,500.0,153.86,117060.0,76930.0,0.6571843499060311
Selipsky Adam,CEO Amazon Web Services,0.0,,,0.0,0.0,340.0,0.0,0.0
Selipsky Adam,CEO Amazon Web Services,0.0,,,0.0,0.0,143.1,0.0,0.0
Selipsky Adam,CEO Amazon Web Services,-500.0,01/04/2024,S,500.0,145.63,118560.0,72815.0,0.6141616059379217
Selipsky Adam,CEO Amazon Web Services,-500.0,01/05/2024,S,500.0,144.61,118060.0,72305.0,0.6124428256818567
Selipsky Adam,CEO Amazon Web Services,0.0,,,0.0,0.0,340.0,0.0,0.0
Selipsky Adam,CEO Amazon Web Services,0.0,,,0.0,0.0,143.1,0.0,0.0
Selipsky Adam,CEO Amazon Web Services,-500.0,12/21/2023,S,500.0,153.2,119560.0,76600.0,0.6406825025092004
Selipsky Adam,CEO Amazon Web Services,-500.0,12/22/2023,S,500.0,153.83,119060.0,76915.0,0.6460188140433395
Selipsky Adam,CEO Amazon Web Services,0.0,,,0.0,0.0,340.0,0.0,0.0
Selipsky Adam,CEO Amazon Web Services,0.0,,,0.0,0.0,143.1,0.0,0.0
Selipsky Adam,CEO Amazon Web Services,-500.0,12/06/2023,S,500.0,147.76,120560.0,73880.0,0.612806901128069
