insider_name,relationship_to_issuer,shares_bought,trade_date,transaction_type,shares,price_per_share,shares_owned_after_transaction,total_value,avg_book_price
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,187710.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,319344.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,320864.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,338600.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,757226.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,844538.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,301.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,1124.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,1723.0,0.0,0.0
Shriram Kavitark Ram,Director,0.0,,,0.0,0.0,1673.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",-2824.0,02/18/2025,S,2824.0,187.43,15024.0,529302.3200000001,35.23045260915868
O'Toole Amie Thuener,"VP, Chief Accounting Officer",0.0,,,0.0,0.0,8940.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",0.0,,,0.0,0.0,2764.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",0.0,,,0.0,0.0,24376.0,0.0,0.0
"GV 2016 GP, L.L.C.",N/A,5675399.0,02/14/2024,J,5675399.0,0.0,63210412.0,0.0,0.0
"GV 2016 GP, L.L.C.",N/A,36300393.0,02/15/2024,J,36300393.0,0.0,99510805.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",-1340.0,02/03/2025,S,1340.0,202.08,17848.0,270787.2,15.171851187808159
O'Toole Amie Thuener,"VP, Chief Accounting Officer",0.0,,,0.0,0.0,8940.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",0.0,,,0.0,0.0,2764.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",0.0,,,0.0,0.0,24376.0,0.0,0.0
Shriram Kavitark Ram,Director,-14000.0,01/31/2025,S,14000.0,205.0,301532.0,2870000.0,9.518061101309314
