insider_name,relationship_to_issuer,shares_bought,trade_date,transaction_type,shares,price_per_share,shares_owned_after_transaction,total_value,avg_book_price
HUANG JEN HSUN,"Director, President and CEO",-4497.0,07/01/2025,S,4497.0,152.2292,75318728.0,684574.7124,0.009089037090482994
HUANG JEN HSUN,"Director, President and CEO",-14104.0,07/01/2025,S,14104.0,153.0139,75304624.0,2158108.0456000003,0.028658373562823983
HUANG JEN HSUN,"Director, President and CEO",-21050.0,07/01/2025,S,21050.0,153.7314,75283574.0,3236045.97,0.042984754815173894
HUANG JEN HSUN,"Director, President and CEO",-18612.0,07/01/2025,S,18612.0,154.6027,75264962.0,2877465.4524,0.03823114203392543
HUANG JEN HSUN,"Director, President and CEO",-12561.0,07/01/2025,S,12561.0,156.0585,75252401.0,1960250.8185,0.026049013618847858
HUANG JEN HSUN,"Director, President and CEO",-4176.0,07/01/2025,S,4176.0,156.6425,75248225.0,654139.0800000001,0.008693083192327793
HUANG JEN HSUN,"Director, President and CEO",0.0,,,0.0,0.0,582503470.0,0.0,0.0
HUANG JEN HSUN,"Director, President and CEO",0.0,,,0.0,0.0,49489560.0,0.0,0.0
HUANG JEN HSUN,"Director, President and CEO",0.0,,,0.0,0.0,22280000.0,0.0,0.0
HUANG JEN HSUN,"Director, President and CEO",0.0,,,0.0,0.0,50078000.0,0.0,0.0
HUANG JEN HSUN,"Director, President and CEO",0.0,,,0.0,0.0,29512185.0,0.0,0.0
HUANG JEN HSUN,"Director, President and CEO",0.0,,,0.0,0.0,29512185.0,0.0,0.0
HUANG JEN HSUN,"Director, President and CEO",0.0,,,0.0,0.0,10000000.0,0.0,0.0
HUANG JEN HSUN,"Director, President and CEO",0.0,,,0.0,0.0,10000000.0,0.0,0.0
COXE TENCH,Director,1799.0,06/26/2025,A,1799.0,0.0,56167.0,0.0,0.0
COXE TENCH,Director,0.0,,,0.0,0.0,4852480.0,0.0,0.0
COXE TENCH,Director,0.0,,,0.0,0.0,26671360.0,0.0,0.0
JONES HARVEY C,Director,1799.0,06/26/2025,A,1799.0,0.0,70407.0,0.0,0.0
JONES HARVEY C,Director,0.0,,,0.0,0.0,7433280.0,0.0,0.0
HUDSON DAWN E,Director,1799.0,06/26/2025,A,1799.0,0.0,458887.0,0.0,0.0
Ochoa Ellen,Director,1799.0,06/26/2025,A,1799.0,0.0,4968.0,0.0,0.0
STEVENS MARK A,Director,1799.0,06/26/2025,A,1799.0,0.0,11543401.0,0.0,0.0
STEVENS MARK A,Director,0.0,,,0.0,0.0,8247600.0,0.0,0.0
STEVENS MARK A,Director,0.0,,,0.0,0.0,16070550.0,0.0,0.0
Shah Aarti S.,Director,1799.0,06/26/2025,A,1799.0,0.0,55007.0,0.0,0.0
SEAWELL A BROOKE,Director,1799.0,06/26/2025,A,1799.0,0.0,10387.0,0.0,0.0
SEAWELL A BROOKE,Director,0.0,,,0.0,0.0,1000000.0,0.0,0.0
SEAWELL A BROOKE,Director,0.0,,,0.0,0.0,1679361.0,0.0,0.0
SEAWELL A BROOKE,Director,0.0,,,0.0,0.0,2000000.0,0.0,0.0
LORA MELISSA,Director,1799.0,06/26/2025,A,1799.0,0.0,15657.0,0.0,0.0
Drell Persis,Director,1799.0,06/26/2025,A,1799.0,0.0,3887.0,0.0,0.0
Drell Persis,Director,0.0,,,0.0,0.0,178740.0,0.0,0.0
Dabiri John,Director,1799.0,06/26/2025,A,1799.0,0.0,18418.0,0.0,0.0
BURGESS ROBERT K,Director,1799.0,06/26/2025,A,1799.0,0.0,202843.0,0.0,0.0
Neal Stephen C,Director,1799.0,06/26/2025,A,1799.0,0.0,0.0,0.0,0.0
Neal Stephen C,Director,0.0,,,0.0,0.0,0.0,0.0,0.0
Neal Stephen C,Director,0.0,,,0.0,0.0,19000.0,0.0,0.0
Puri Ajay K,"EVP, Worldwide Field Ops",-5955.0,06/25/2025,S,5955.0,150.5096,4180787.0,896284.6680000001,0.21438180610492716
Puri Ajay K,"EVP, Worldwide Field Ops",-53013.0,06/25/2025,S,53013.0,151.6017,4127774.0,8036860.9221,1.947020578670247
Puri Ajay K,"EVP, Worldwide Field Ops",-40619.0,06/25/2025,S,40619.0,152.4496,4087155.0,6192350.3024,1.5150759641853564
Puri Ajay K,"EVP, Worldwide Field Ops",-65420.0,06/25/2025,S,65420.0,153.7079,4021735.0,10055570.818,2.5003066631690056
Puri Ajay K,"EVP, Worldwide Field Ops",-3188.0,06/25/2025,S,3188.0,154.3203,4018547.0,491973.1164,0.12242562209674293
Puri Ajay K,"EVP, Worldwide Field Ops",0.0,,,0.0,0.0,634193.0,0.0,0.0
Puri Ajay K,"EVP, Worldwide Field Ops",0.0,,,0.0,0.0,46360.0,0.0,0.0
SEAWELL A BROOKE,Director,-6892.0,06/25/2025,S,6892.0,149.9687,1827678.0,1033584.2804,0.5655177117632318
SEAWELL A BROOKE,Director,-10967.0,06/25/2025,S,10967.0,151.1583,1816711.0,1657753.0761,0.9125023606396394
SEAWELL A BROOKE,Director,-28055.0,06/25/2025,S,28055.0,151.8864,1788656.0,4261172.9520000005,2.3823322941918406
SEAWELL A BROOKE,Director,-6860.0,06/25/2025,S,6860.0,152.6868,1781796.0,1047431.4480000001,0.5878514981513036
SEAWELL A BROOKE,Director,-13561.0,06/26/2025,S,13561.0,154.6887,1768235.0,2097733.4607,1.1863431391755057
SEAWELL A BROOKE,Director,-27941.0,06/26/2025,S,27941.0,155.5779,1740294.0,4347002.1039,2.4978550198414755
SEAWELL A BROOKE,Director,-9953.0,06/26/2025,S,9953.0,156.2489,1730341.0,1555145.3017,0.8987507674498841
SEAWELL A BROOKE,Director,-14355.0,06/27/2025,S,14355.0,155.9728,1715986.0,2238989.544,1.304783106622082
SEAWELL A BROOKE,Director,-18411.0,06/27/2025,S,18411.0,156.7448,1697575.0,2885828.5128,1.6999711428361046
SEAWELL A BROOKE,Director,-13013.0,06/27/2025,S,13013.0,157.6161,1684562.0,2051058.3092999998,1.217561781222656
SEAWELL A BROOKE,Director,-5201.0,06/27/2025,S,5201.0,158.428,1679361.0,823984.0279999999,0.49065330682325
SEAWELL A BROOKE,Director,0.0,,,0.0,0.0,8588.0,0.0,0.0
SEAWELL A BROOKE,Director,0.0,,,0.0,0.0,1000000.0,0.0,0.0
