timestamp,ticker,total_call_volume,total_put_volume,put_call_ratio,total_volume,unusual_activity_count,volume_weighted_avg_strike,sentiment
2025-07-28 04:46:35,NVDA,480616.0,255839.0,0.5323136718010391,736455.0,14,172.47490885390147,Bullish
2025-07-28 04:46:37,AMZN,48627.0,36697.0,0.754647528173069,85324.0,9,226.04492874220617,Neutral
2025-07-28 04:46:38,GOOGL,154004.0,51489.0,0.334333300866855,205493.0,9,194.2054133230816,Bullish
2025-07-28 04:46:40,MSFT,37926.0,28065.0,0.7399741608880217,65991.0,14,507.6500204573351,Neutral
2025-07-28 04:53:15,NVDA,480616.0,255839.0,0.5323136718010391,736455.0,14,172.47490885390147,Bullish
2025-07-28 04:53:17,AMZN,48627.0,36697.0,0.754647528173069,85324.0,9,226.04492874220617,Neutral
2025-07-28 04:53:18,GOOGL,154004.0,51489.0,0.334333300866855,205493.0,9,194.2054133230816,Bullish
2025-07-28 04:53:20,MSFT,37926.0,28065.0,0.7399741608880217,65991.0,14,507.6500204573351,Neutral
2025-07-28 05:00:46,NVDA,480616.0,255839.0,0.5323136718010391,736455.0,14,172.47490885390147,Bullish
2025-07-28 05:00:47,AMZN,48627.0,36697.0,0.754647528173069,85324.0,9,226.04492874220617,Neutral
2025-07-28 05:00:49,GOOGL,154004.0,51489.0,0.334333300866855,205493.0,9,194.20541332308156,Bullish
2025-07-28 05:00:50,MSFT,37926.0,28065.0,0.7399741608880217,65991.0,14,507.6500204573351,Neutral
