filing_date,filing_year,filing_quarter,institution_name,institution_cik,accession_number,ticker,form_type
2008-05-14,2008,Q2,Fidelity Management & Research,0000315066,0000315066-08-002632,NVDA,13F-HR
2008-04-23,2008,Q2,Vanguard Group Inc,0001364742,0001086364-08-000176,NVDA,13F-HR
2008-02-14,2008,Q1,Fidelity Management & Research,0000315066,0000315066-08-002261,NVDA,13F-HR
2008-02-14,2008,Q1,Berkshire Hathaway Inc,0001067983,0000950134-08-002742,NVDA,13F-HR
2008-02-12,2008,Q1,Vanguard Group Inc,0001364742,0001086364-08-000136,NVDA,13F-HR
2007-11-14,2007,Q4,Fidelity Management & Research,0000315066,0000315066-07-003831,NVDA,13F-HR
2007-11-14,2007,Q4,Berkshire Hathaway Inc,0001067983,0000950134-07-024008,NVDA,13F-HR
2007-10-23,2007,Q4,Vanguard Group Inc,0001364742,0001086364-07-000087,NVDA,13F-HR
2007-08-14,2007,Q3,Fidelity Management & Research,0000315066,0000315066-07-003374,NVDA,13F-HR
2007-08-14,2007,Q3,Berkshire Hathaway Inc,0001067983,0000950134-07-018234,NVDA,13F-HR
2007-07-25,2007,Q3,Vanguard Group Inc,0001364742,0001086364-07-000051,NVDA,13F-HR
2007-05-15,2007,Q2,Fidelity Management & Research,0000315066,0000315066-07-002791,NVDA,13F-HR
2007-05-15,2007,Q2,Berkshire Hathaway Inc,0001067983,0000950134-07-011675,NVDA,13F-HR
2007-05-10,2007,Q2,Vanguard Group Inc,0001364742,0001086364-07-000024,NVDA,13F-HR
2007-02-14,2007,Q1,Fidelity Management & Research,0000315066,0000315066-07-001384,NVDA,13F-HR
2007-02-14,2007,Q1,Berkshire Hathaway Inc,0001067983,0000950134-07-003329,NVDA,13F-HR
2007-02-13,2007,Q1,Vanguard Group Inc,0001364742,0000065103-07-000058,NVDA,13F-HR
2006-11-14,2006,Q4,Berkshire Hathaway Inc,0001067983,0000950134-06-021611,NVDA,13F-HR
2006-11-13,2006,Q4,Fidelity Management & Research,0000315066,0000315066-06-005425,NVDA,13F-HR
2006-11-03,2006,Q4,Vanguard Group Inc,0001364742,0001193125-06-223101,NVDA,13F-HR
2006-08-14,2006,Q3,Berkshire Hathaway Inc,0001067983,0000950134-06-016076,NVDA,13F-HR
2006-08-14,2006,Q3,Fidelity Management & Research,0000315066,0000315066-06-004657,NVDA,13F-HR
2006-05-15,2006,Q2,Berkshire Hathaway Inc,0001067983,0000950129-06-005536,NVDA,13F-HR
2006-05-15,2006,Q2,Fidelity Management & Research,0000315066,0000315066-06-003557,NVDA,13F-HR
2006-02-14,2006,Q1,Berkshire Hathaway Inc,0001067983,0000950129-06-001495,NVDA,13F-HR
2006-02-14,2006,Q1,Fidelity Management & Research,0000315066,0000315066-06-002059,NVDA,13F-HR
2005-11-14,2005,Q4,Berkshire Hathaway Inc,0001067983,0000950129-05-011013,NVDA,13F-HR
2005-11-14,2005,Q4,Fidelity Management & Research,0000315066,0000315066-05-002819,NVDA,13F-HR
2005-08-15,2005,Q3,Berkshire Hathaway Inc,0001067983,0000950129-05-008251,NVDA,13F-HR
2005-08-15,2005,Q3,Fidelity Management & Research,0000315066,0000315066-05-002210,NVDA,13F-HR
2005-05-16,2005,Q2,Berkshire Hathaway Inc,0001067983,0000950129-05-005372,NVDA,13F-HR
2005-05-16,2005,Q2,Fidelity Management & Research,0000315066,0000315066-05-001667,NVDA,13F-HR
2005-02-14,2005,Q1,Berkshire Hathaway Inc,0001067983,0000950129-05-001294,NVDA,13F-HR
2005-02-14,2005,Q1,Fidelity Management & Research,0000315066,0000315066-05-001356,NVDA,13F-HR
