timestamp,ticker,total_institutions,total_shares_held,top_10_concentration,largest_holder,largest_holder_shares,largest_holder_pct
2025-07-25 21:47:28,NVDA,10,8363439237,100.0,Vanguard Group Inc,2192979269,0
2025-07-25 21:47:30,AMZN,10,3221140483,100.0,Vanguard Group Inc,832274556,0
2025-07-25 21:47:31,GOOGL,10,2018408525,100.0,Vanguard Group Inc,509826331,0
2025-07-25 21:47:32,MSFT,10,2525876340,100.0,Vanguard Group Inc,691386214,0
